description,original_price,discount,reviews,ratings,sale,soldout,product_price
Hessed Mini Stripped Sleeveless Dress - Blue,"KSh2,000.00",28,No reviews,0.00,Sale,Available,"KSh2,000.00"
Vivo Neza 3/4 Sleeve Sheath Dress - Black,,,No reviews,0.00,,Available,"KSh3,750.00"
Popular 21 Low Armhole Side Ruched Dress - White,"KSh3,200.00",20,1 review,5.00,Sale,Available,"KSh3,200.00"
Popular 21 Buttoned V-Neck Dress - Wine,"KSh2,600.00",20,1 review,5.00,Sale,Available,"KSh2,600.00"
Hekaya Shela Midi Dress - Orange,"KSh5,500.00",70,No reviews,0.00,Sale,Available,"KSh5,500.00"
Vivo Chalbi A-line Dress - Blue,,,No reviews,0.00,,Available,"KSh4,250.00"
Vivo Zawadi Shift Dress - Dark Green,,,No reviews,0.00,,Sold out,"KSh3,950.00"
Vivo Basic Bodycon - Pink,"KSh3,950.00",10,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Jema Cap Sleeve Tent Dress - Light Sea Green / Black Abstract Print,,,No reviews,0.00,,Available,"KSh4,250.00"
Nalani Cherry Blossom Midi Dress - Pink / Orange Floral,"KSh3,700.00",30,No reviews,0.00,Sale,Available,"KSh3,700.00"
Sayuri Maxi Round Neck Crotchet Cover Up Dress - Black,"KSh3,950.00",30,No reviews,0.00,Sale,Available,"KSh3,950.00"
Popular 21 Ruched Draw String Tie Back Cami Dress - Silver,"KSh1,750.00",20,No reviews,0.00,Sale,Available,"KSh1,750.00"
Elsie Glamour Aheri Bustier Dress - Lavender,"KSh3,800.00",20,No reviews,0.00,Sale,Available,"KSh3,800.00"
Vivo Basic Double Layered High Cowl Bodycon - Mustard,,,No reviews,0.00,,Available,"KSh4,250.00"
Vivo Basic Julia Back Pleat Knee Length Dress - Mustard,,,1 review,5.00,,Available,"KSh3,950.00"
Nika Bonica Marigold Puff Sleeve Kaftan - Taupe Print,,,No reviews,0.00,,Available,"KSh4,750.00"
Lizola Toto Bodycon Dress - Grey,"KSh6,500.00",35,No reviews,0.00,Sale,Available,"KSh6,500.00"
Salok Havilah Naya Maxi Dress - Maroon print,"KSh5,500.00",20,No reviews,0.00,Sale,Available,"KSh5,500.00"
Vivo Bana Front Knot 3/4 Sleeve Maxi Dress - Navy Blue,,,No reviews,0.00,,Available,"KSh5,550.00"
Elsie Glamour Talia Official Dress - Black / White,"KSh3,950.00",10,2 reviews,3.00,Sale,Available,"KSh3,950.00"
Lizola Pinkette Wrap Dress - Red,"KSh6,500.00",24,No reviews,0.00,Sale,Available,"KSh6,500.00"
Vivo Hema Cap Sleeve Tent Knee Length Dress - Peach / Black Abstact Print,,,No reviews,0.00,,Available,"KSh4,550.00"
Hekaya Kipu Mini Dress - Emerald,"KSh6,000.00",70,No reviews,0.00,Sale,Available,"KSh6,000.00"
Popular 21 Spaghetti-Strap Scoop Dress - Mustard,"KSh2,300.00",20,No reviews,0.00,Sale,Available,"KSh2,300.00"
Popular 21 Buttoned V-Neck Dress - Sphinx,"KSh2,600.00",20,No reviews,0.00,Sale,Available,"KSh2,600.00"
Popular 21 Knee-Length Spaghetti Strap Dress - Cherry Tomato,"KSh3,200.00",20,No reviews,0.00,Sale,Available,"KSh3,200.00"
Vivo Fahari Shirred Waist Shirt Dress - Navy Blue,,,No reviews,0.00,,Available,"KSh4,250.00"
JMC Zaria Knit Dress - Red,,,No reviews,0.00,,Available,"KSh3,950.00"
Popular 21 Cami Dress With Back Detail - Gold Fusion,"KSh3,300.00",20,No reviews,0.00,Sale,Available,"KSh3,300.00"
Popular 21 Ruching Tie Bust Seamed Cami Dress - Ella Blue Floral,"KSh3,400.00",20,No reviews,0.00,Sale,Available,"KSh3,400.00"
Vivo Basic Ayo Tent Dress - Pink / Black Geometric Print,,,No reviews,0.00,,Available,"KSh4,550.00"
Vivo Basic Escape A-Line Dress - Yellow,,,No reviews,0.00,,Available,"KSh3,950.00"
Salok Havilah Zaba Knee Length Dress - Brown Print,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Vivo Jema Cap Sleeve Tent Dress - Rust / Black Abstract Print,,,1 review,5.00,,Sold out,"KSh4,250.00"
Lola Orange Cut-out Side Split Sleeveless Bodycon Dress - Orange,"KSh1,890.00",30,1 review,5.00,Sale,Available,"KSh1,890.00"
Lola Red Halter Neck Off Shoulder Mini Dress - Red,"KSh1,750.00",30,No reviews,0.00,Sale,Available,"KSh1,750.00"
Alara Green Leaf Print Sleeveless Dress - Green,"KSh2,010.00",30,No reviews,0.00,Sale,Available,"KSh2,010.00"
Vivo Zuri V- Neck Bodycon - Grey,"KSh3,950.00",30,4 reviews,4.75,Sale,Available,"KSh3,950.00"
Vivo Zuri Cap Sleeved Bodycon Dress - Purple,"KSh3,950.00",30,No reviews,0.00,Sale,Available,"KSh3,950.00"
Vivo Malindi Buttoned Kaftan (JK) - White / Lilac Tropical Floral Print,"KSh9,500.00",50,No reviews,0.00,,Sold out,"KSh9,500.00"
Vivo Chalbi A-line Dress - White,,,1 review,5.00,,Available,"KSh4,250.00"
Safari Tawi Sleeveless Scalloped Shirt Dress - Black,,,No reviews,0.00,,Available,"KSh3,950.00"
