description,original_price,discount,reviews,ratings,sale,soldout,product_price
Elsie Glamour Tiwi Neck-Tie Top - White,"KSh2,500.00",50,No reviews,0.00,Sale,Available,"KSh2,500.00"
Zoya Off Shoulder Long Sleeve Fitness Top - White,KSh900.00,30,No reviews,0.00,Sale,Available,KSh900.00
Vivo Ruwa Pleated Shoulder Top - Mustard,"KSh2,750.00",50,No reviews,0.00,Sale,Available,"KSh2,750.00"
ForKeeps Lace Back Bow Tie Bodysuit - Black,,,No reviews,0.00,,Available,"KSh2,500.00"
Elsie Glamour Amara Butterfly Official Top - Black,"KSh2,450.00",5,No reviews,0.00,Sale,Available,"KSh2,450.00"
Vivo Wastani Shirred Cuff Asymmetrical Top - White,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Amali Round Neck Wide Top - Light Blue,,,No reviews,0.00,,Sold out,"KSh2,550.00"
The Fashion Frenzy Long Sleeved Top - Black,"KSh2,000.00",10,No reviews,0.00,Sale,Available,"KSh2,000.00"
Vivo Neza Short Kimono Top - Peach / Black Abstract Print,,,No reviews,0.00,,Sold out,"KSh2,950.00"
Vivo Laika 3/4 Bishop Sleeve Loose Top - White,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Laika 3/4 Bishop Sleeve Loose Top - Black,"KSh2,550.00",10,No reviews,0.00,,Sold out,"KSh2,550.00"
Vivo Bana Long Sleeve Side Side Pleat Top - Burgundy,,,1 review,5.00,,Available,"KSh2,250.00"
Vivo Bana Long Sleeve Side Side Pleat Top - White,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Bana Batwing Top - Dark Green,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Fara Side Flounce Top - White,"KSh2,250.00",10,No reviews,0.00,Sale,Available,"KSh2,250.00"
Vivo Fara Side Flounce Top - Black,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Fahari 3/4 Sleeve Shirred Shirt - Black,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Fitness V- Neck T-Shirt - Mustard,,,No reviews,0.00,,Available,"KSh1,550.00"
Lamazi Collections T-shirt - Black,"KSh1,500.00",47,No reviews,0.00,Sale,Available,"KSh1,500.00"
Lamazi Collections T-shirt - Grey,"KSh1,500.00",47,No reviews,0.00,Sale,Available,"KSh1,500.00"
Zoya Basic Long Sleeve Top - Navy Blue,,,1 review,5.00,,Available,"KSh1,950.00"
Askari V Neck Band Blouse Bls002 - Black / Floral,,,No reviews,0.00,,Available,"KSh2,080.00"
Vivo Basic 3/4 Sleeved Bodysuit - Yellow,,,No reviews,0.00,,Available,"KSh2,250.00"
Zoya Basic Tank Top - Light Blue,,,No reviews,0.00,,Available,"KSh1,250.00"
Vivo Basic Val Cap Sleeve Top - Sea Green,,,No reviews,0.00,,Available,"KSh1,750.00"
African Yuva La Femme Top - Red,,,No reviews,0.00,,Available,"KSh4,000.00"
Vivo Amali Drop Shoulder Tunic Top - Brown,,,No reviews,0.00,,Available,"KSh2,250.00"
Anika V-Neck Short Sleeved Shirt With Waist Elastic  - White,"KSh1,500.00",30,No reviews,0.00,Sale,Available,"KSh1,500.00"
Anika Plaid Long Sleeve Button Down Shirt  - Peach,"KSh1,750.00",30,No reviews,0.00,,Sold out,"KSh1,750.00"
Anika Light Weight Button Down Long Sleeve Shirt  - Olive Green,"KSh1,750.00",30,No reviews,0.00,Sale,Available,"KSh1,750.00"
Vivo Tatili Bishop Long Sleeve Top - Teal / Mustard Abstract Print,,,No reviews,0.00,,Sold out,"KSh2,950.00"
Zetu Basic Sleeveless Bodysuit - Dark Green,,,No reviews,0.00,,Available,"KSh1,100.00"
Vivo Bana Twist 3/4 Sleeve Bodysuit - Black,,,1 review,5.00,,Available,"KSh2,350.00"
Silk House Collection Astrid top - Navy Blue / Red Floral,"KSh2,000.00",15,1 review,5.00,Sale,Available,"KSh2,000.00"
Silk House Collection Astrid Top - Red / White Strip,"KSh2,000.00",15,No reviews,0.00,Sale,Available,"KSh2,000.00"
Vivo Fasi Strapless Top - Navy Blue,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Fasi Tear Cut Out Long Sleeve Top - White,,,No reviews,0.00,,Available,"KSh3,250.00"
Zoya Basic Long Sleeve Top - Black,,,No reviews,0.00,,Available,"KSh1,950.00"
Vivo Sierra Bishop Sleeve Top - Neon Pink,,,No reviews,0.00,,Available,"KSh3,250.00"
Zoya Party Long Sleeve Bodysuit - Maroon,"KSh1,750.00",10,No reviews,0.00,Sale,Available,"KSh1,750.00"
Vivo Fitness Spaghetti Strap Tank Top - Black,,,No reviews,0.00,,Available,"KSh1,450.00"
Vivo Fahari 3/4 Sleeve Shirred Shirt - White,"KSh3,250.00",30,No reviews,0.00,Sale,Available,"KSh3,250.00"
Vivo Fitness V- Neck T-Shirt - White,,,No reviews,0.00,,Available,"KSh1,550.00"
Vivo Ruwa Pleated Shoulder Top - Yellow,"KSh2,750.00",50,No reviews,0.00,Sale,Available,"KSh2,750.00"
Vivo Jamila V-Neck Flounce Sleeve Top - Blue,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Lamazi Collections Tank Top - Navy Blue,"KSh1,500.00",47,No reviews,0.00,Sale,Available,"KSh1,500.00"
Vivo Basic Crepe Cap Sleeved Top - Rust,,,No reviews,0.00,,Sold out,"KSh2,550.00"
Smash By Kaly Style Icon Sweater Top Slim Fit - Beige,"KSh2,950.00",49,No reviews,0.00,Sale,Available,"KSh2,950.00"
Vivo Ruwa Pleated Shoulder Top - Black,"KSh2,750.00",50,1 review,5.00,,Sold out,"KSh2,750.00"
Vivo Tunu Long Sleeve Front Pleat Top - Rust,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Zoya Brave Maxi Slit Top - Lime Green,"KSh3,250.00",50,No reviews,0.00,Sale,Available,"KSh3,250.00"
Zoya Basic Tank Top - Lime Green,,,No reviews,0.00,,Available,"KSh1,250.00"
Vivo Basic Long Sleeved Top - Dark Green,,,No reviews,0.00,,Available,"KSh1,950.00"
Elsie Glamour Tiwi Neck-Tie Top - Orange,"KSh2,500.00",50,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vivo Diani V-Neck Top - Orange Polka Print,"KSh2,500.00",30,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vivo Basic Cap Sleeve Cory Top - White Twine Print,,,No reviews,0.00,,Available,"KSh2,500.00"
Popular 21 Top - Rum Raisin,"KSh2,200.00",20,No reviews,0.00,Sale,Available,"KSh2,200.00"
Vivo Arusha Dolman Top - Teal,,,No reviews,0.00,,Available,"KSh2,750.00"
Vivo Amali High Low Drop Shoulder Tunic Top - Light Brown,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Dua Long Bishop Sleeve Top - Pink,,,No reviews,0.00,,Available,"KSh2,950.00"
Alara Abstract Linen Top - Grey Mint,"KSh2,800.00",30,No reviews,0.00,Sale,Available,"KSh2,800.00"
Alara Sleeveless Work out Crop Top- Black,KSh950.00,30,No reviews,0.00,Sale,Available,KSh950.00
Anika Striped Long Sleeved Button Down Shirt - Yellow,"KSh1,750.00",30,No reviews,0.00,Sale,Available,"KSh1,750.00"
Nimali Ruffle Sleeve Top - Black,,,No reviews,0.00,,Available,"KSh2,950.00"
Zoya Basic Val Tank Top - Yellow,,,No reviews,0.00,,Available,"KSh1,500.00"
Vivo Bissa Bishop Long Sleeved Top - Black,,,No reviews,0.00,,Available,"KSh3,550.00"
Hessed Short Sleeved Top - Blue,"KSh1,550.00",19,No reviews,0.00,Sale,Available,"KSh1,550.00"
Vivo Bissa Bishop Long Sleeved Top - Royal Blue / Orange Floral Print,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Fitness V-Neck Sleeveless Top - Grey,,,1 review,2.00,,Available,"KSh1,550.00"
Vivo Waridi Asymmetric Top - Black,"KSh3,250.00",30,No reviews,0.00,Sale,Available,"KSh3,250.00"
Vivo Faraji Drop Shoulder Wrap Top - Black,"KSh4,250.00",50,No reviews,0.00,Sale,Available,"KSh4,250.00"
Vivo Basic Val Cap Sleeve Top - Forest Green,,,No reviews,0.00,,Available,"KSh1,750.00"
Zoya Basic Val Tank Top - Teal,,,No reviews,0.00,,Available,"KSh1,550.00"
Vivo Basic Crepe Cap Sleeved Top - Mustard,,,No reviews,0.00,,Available,"KSh2,500.00"
Vivo Faraji Drop Shoulder Wrap Top - White Polka Dot Print,"KSh4,250.00",50,No reviews,0.00,Sale,Available,"KSh4,250.00"
Urban Zen One Shoulder Long Sleeve Bodysuit - Rust Orange,"KSh1,250.00",50,No reviews,0.00,,Sold out,"KSh1,250.00"
Urban Zen One Shoulder Long Sleeve Bodysuit - Bright Red,"KSh1,250.00",50,No reviews,0.00,Sale,Available,"KSh1,250.00"
Zoya Brave Drape T-Shirt - Purple,"KSh3,950.00",50,No reviews,0.00,,Sold out,"KSh3,950.00"
Zoya Brave Maxi Slit Top - Pink,"KSh3,250.00",50,No reviews,0.00,Sale,Available,"KSh3,250.00"
Vivo Bissa Bishop Long Sleeved Top - Green,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Alek Off-Shoulder Scalloped Hem Top - Purple / Green Print,"KSh2,500.00",30,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vivo Basic 3/4 Sleeved Bodysuit - Sea Green,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Cap Sleeve Amber Front Pleat Top - Black,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Tatili Drop Shoulder Cowl Top - Black / Grey Wavy Stripes Print,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Amali Round Neck Wide Top - Pink,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Amali Drop Shoulder Tunic Top - Lilac,,,No reviews,0.00,,Sold out,"KSh2,250.00"
Satin Revolution Side Knot Sleeveless Satin Blouse - Delicate Rose,"KSh4,000.00",25,No reviews,0.00,Sale,Available,"KSh4,000.00"
Vivo Neza Short Kimono Top - Green,,,No reviews,0.00,,Available,"KSh2,950.00"
Merli Africa Lilly Top - Light Purple,"KSh3,000.00",38,No reviews,0.00,Sale,Available,"KSh3,000.00"
Signature The Brand Solid One Shoulder Asymmetrical Hem Top - Black,"KSh2,750.00",35,No reviews,0.00,Sale,Available,"KSh2,750.00"
Vivo Tatili Bishop Long Sleeve Top - Teal / Rust Abstract Print,,,No reviews,0.00,,Sold out,"KSh2,950.00"
Vivo Basic Cowl Jersey Top - Red,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Wingu Long Sleeve Cowl Top - Black,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Fasi Tear Cut Out Long Sleeve Top - Pink,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Fasi Tear Cut Out Long Sleeve Top - Black,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Fasi Tear Cut Out Sleeveless Top - White,,,1 review,5.00,,Available,"KSh2,950.00"
Vivo Fasi Tear Cut Out Sleeveless Top - Mustard,,,No reviews,0.00,,Available,"KSh2,950.00"
Vivo Basic Ribbed Turtleneck Top - Sea Green,,,No reviews,0.00,,Available,"KSh2,500.00"
Vivo Basic Ribbed Turtleneck Top - Maroon,,,No reviews,0.00,,Available,"KSh2,500.00"
Zoya Chill Spaghetti Strap Tank Top - Teal,KSh950.00,50,No reviews,0.00,Sale,Available,KSh950.00
Vivo Fara Off Shoulder Flounce Sleeve Bodysuit - Pink,,,No reviews,0.00,,Available,"KSh2,550.00"
Vivo Imali Sleeveless Waist Tie Top - Teal / Mustard Abstract Print,,,No reviews,0.00,,Available,"KSh3,250.00"
Safari Huru High-Low Top - Red,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Vivo Waridi Asymmetric Top - Orange,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Basic Long Sleeved Top - Orange,,,No reviews,0.00,,Available,"KSh1,950.00"
Zola Stringed Bodysuit - Maroon,"KSh2,250.00",15,1 review,5.00,Sale,Available,"KSh2,250.00"
Urban Zen Cut Out Side Tie Maxi Top - Camel,"KSh1,950.00",50,No reviews,0.00,Sale,Available,"KSh1,950.00"
Urban Zen Spaghetti Strap Tank Top - Cream,KSh950.00,50,No reviews,0.00,Sale,Available,KSh950.00
Urban Zen One Shoulder Long Sleeve Bodysuit - Taupe,"KSh1,250.00",50,No reviews,0.00,Sale,Available,"KSh1,250.00"
Urban Zen One Shoulder Long Sleeve Bodysuit - Lilac,"KSh1,250.00",50,No reviews,0.00,Sale,Available,"KSh1,250.00"
Vivo Basic Long Sleeved Top - Burgundy,,,No reviews,0.00,,Available,"KSh1,950.00"
Vivo Basic Olivia Bishop Sleeve Top - Yellow,,,No reviews,0.00,,Available,"KSh3,250.00"
Vivo Basic Long Sleeved Bodysuit - Yellow,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Basic Val Cap Sleeve Top - Yellow,,,No reviews,0.00,,Available,"KSh1,750.00"
ForKeeps Collar Bodysuit - Black,,,No reviews,0.00,,Available,"KSh1,600.00"
Lamazi Collections Print Chiffon Top - Brown,"KSh1,900.00",58,No reviews,0.00,Sale,Available,"KSh1,900.00"
Silk House Collection Veva - Orange Floral Print,"KSh2,900.00",14,No reviews,0.00,Sale,Available,"KSh2,900.00"
Silk House Collection Thera Top - White,"KSh2,700.00",7,No reviews,0.00,Sale,Available,"KSh2,700.00"
Purple Thread Zamba Top - Purple,"KSh2,500.00",15,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vivo Bana Ribbed Crop Top - Black,,,1 review,5.00,,Available,"KSh2,550.00"
