description,original_price,discount,reviews,ratings,sale,soldout,product_price
Vazi Afriq Ankara Wrap Skirt - Multicoloured,"KSh2,500.00",40,No reviews,0.00,,Sold out,"KSh2,500.00"
Zola Bandage Skirt - Pink,"KSh6,500.00",15,No reviews,0.00,Sale,Available,"KSh6,500.00"
House of Roses Lene Skirt - Blue,,,No reviews,0.00,,Available,"KSh5,800.00"
Miss Kerre Fashions Azara Maxi Front Slit Skirt Green - Green,,,No reviews,0.00,,Available,"KSh3,600.00"
Purple Earth J Crew Chevron Pencil Skirt - Black / White,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Petite Striped Knit Pencil Skirt - Blue Stripes,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Plaid Pencil Skirt - Blue Diamond Print,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Ponte Pencil Skirt - Blue,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Leafed Pencil Skirt - Blush,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Gap Back Zip Pencil Skirt in Ponte - Navy / White Stripes,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ruffle Crepe Pencil Skirt - Black,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Double Weave Pencil Skirt - Yellow,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Plus-Size Animal Print Skirt - Animal Print,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Striped Sailor Pencil Skirt - White,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Tie Waist Pencil Skirt - Chambray,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Sharkskin Pencil Skirt - Grey,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Plus-Size Skirt with Scuba Waist Band - Color Block,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Loft Striped Sailor Pocket Skirt - Navy / White Stripes,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Rafaella A Line Side Zip Skirt - Black,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Banana Republic Pencil Skirt - Navy,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Ponte Pencil Skirt - Blue,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth J Crew Flannel Skirt - Wine,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Ann Taylor Ponte Pencil Skirt - Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth J Crew Scalloped Pencil Skirt - Navy,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Earth Jones New York Cream Skirt - Off White,,,No reviews,0.00,,Available,"KSh4,500.00"
