description,original_price,discount,reviews,ratings,sale,soldout,product_price
Urban Zen High Neck Sleeveless Cat Suit - Camel,"KSh1,950.00",50,No reviews,0.00,,Sold out,"KSh1,950.00"
Anika Full length Ribbed Pants with Elastic Waist - Teal,"KSh1,750.00",30,No reviews,0.00,Sale,Available,"KSh1,750.00"
African Yuva Tulips Pants - Maroon,,,No reviews,0.00,,Available,"KSh5,700.00"
Safari Sahara Joggers (Regular) - Dark Green,"KSh2,950.00",30,No reviews,0.00,,Sold out,"KSh2,950.00"
Elsie Glamour Hazel Unisex Pants - Cyan,"KSh2,700.00",5,No reviews,0.00,Sale,Available,"KSh2,700.00"
Siri Studio Pintuck Pants - Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Siri Studio Pleat Palazzo Pants - Black,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Thread Kipusa Pants - Black,"KSh3,500.00",15,No reviews,0.00,Sale,Available,"KSh3,500.00"
Lizola Cherop Jumpsuit - Sky Blue,"KSh8,000.00",26,No reviews,0.00,Sale,Available,"KSh8,000.00"
Magali Design Ruffled Jumpsuit - White,,,1 review,5.00,,Available,"KSh4,599.00"
Lizola Linsey Jumpsuit - Blue,"KSh8,000.00",26,No reviews,0.00,Sale,Available,"KSh8,000.00"
Anika Boot-Cut Dress Pants With Zipper on the side - Pink,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
African Yuva Butterfly Jumpsuit - Black,,,No reviews,0.00,,Available,"KSh10,000.00"
Jaidden Trendy Jumpsuit - Black,,,No reviews,0.00,,Available,"KSh5,200.00"
Vivo Fitness Shorts - Black,,,No reviews,0.00,,Available,"KSh1,450.00"
Vivo Fitness Shorts - Black / Purple Geometric Print,,,No reviews,0.00,,Available,"KSh1,450.00"
Zoya Chill Capri Pants - Orange,"KSh1,750.00",50,No reviews,0.00,Sale,Available,"KSh1,750.00"
Vivo Tunu Wide Leg Capri Pants - Green,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
African Yuva Umber Palazzo Pants - Grey / White,,,No reviews,0.00,,Available,"KSh6,950.00"
Popular 21 Cut Out Drawstring Jumpsuit  - White,"KSh2,950.00",20,No reviews,0.00,Sale,Available,"KSh2,950.00"
Popular 21 Cut Out Drawstring Jumpsuit - Olive Green ,"KSh2,950.00",20,No reviews,0.00,,Sold out,"KSh2,950.00"
Vivo Faraji Side Slit Leisure Pant - Red,"KSh3,950.00",30,No reviews,0.00,Sale,Available,"KSh3,950.00"
The Fashion Frenzy Inaya Jumpsuit - Red,"KSh4,800.00",30,No reviews,0.00,Sale,Available,"KSh4,800.00"
Zoya Brave Fleece Cargo Joggers (Regular Length) - Black,"KSh3,500.00",50,1 review,5.00,Sale,Available,"KSh3,500.00"
Urban Zen High Neck Sleeveless Cat Suit - Mustard,"KSh1,950.00",50,No reviews,0.00,,Sold out,"KSh1,950.00"
Urban Zen High Neck Sleeveless Cat Suit - Bright Red,"KSh1,950.00",50,1 review,4.00,Sale,Available,"KSh1,950.00"
Vivo Hema Wide Leg Pants - Black,"KSh3,500.00",30,No reviews,0.00,,Sold out,"KSh3,500.00"
Curves BD Pants Set - Dark Teal,,,No reviews,0.00,,Available,"KSh6,200.00"
The Fashion Frenzy Flared Trouser - Cream,,,No reviews,0.00,,Available,"KSh3,500.00"
Siri Studio Pleat Palazzo Pants - Green,,,No reviews,0.00,,Available,"KSh4,500.00"
Siri Studio Flat Front Pants - Black,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Thread Belizzi Jumpsuit - Magenta,,,No reviews,0.00,,Available,"KSh5,500.00"
Bbl Femme Fashions Full Length Pants - Black,,,No reviews,0.00,,Available,"KSh3,800.00"
Exclusive Styles Floral Jumpsuit - White / Red,"KSh5,000.00",34,No reviews,0.00,Sale,Available,"KSh5,000.00"
Ikojn Fluid Wide Leg Pants - Mustard,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Bbl Femme Fashions Full Length Pants - White,,,No reviews,0.00,,Available,"KSh3,800.00"
Tuli Clio Playsuit - White,"KSh5,000.00",10,No reviews,0.00,Sale,Available,"KSh5,000.00"
Vivo Fasi Strapless Jumpsuit - Black,,,No reviews,0.00,,Available,"KSh5,750.00"
Pure Buxom Ankle Tie Bottoms - Maroon,"KSh6,500.00",10,2 reviews,3.00,Sale,Available,"KSh6,500.00"
African Yuva Omukhae Wide-Legged Pants - Maroon,,,No reviews,0.00,,Available,"KSh6,000.00"
Nika Bonica Marigold Palazzo Pants - Taupe Print,,,No reviews,0.00,,Available,"KSh4,250.00"
Hessed Flowered Pants - Navy Blue,"KSh2,500.00",34,No reviews,0.00,Sale,Available,"KSh2,500.00"
Vivo Raha Straight Pants - Navy Blue,"KSh2,950.00",50,No reviews,0.00,Sale,Available,"KSh2,950.00"
Vivo Raha Satin Joggers - Navy Blue,"KSh2,950.00",50,No reviews,0.00,Sale,Available,"KSh2,950.00"
Phyls Collections Tunis Jumpsuit Marron Striped - Maroon,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Purple Earth Smocked Cami Jumpsuit - Green,,,No reviews,0.00,,Available,"KSh4,800.00"
Vivo Pesi Lapel Jumpsuit - Navy Blue / White Geometric Print,"KSh5,500.00",10,No reviews,0.00,Sale,Available,"KSh5,500.00"
Zoya Brave Satin Joggers(Tall) - Blue Abstract Print,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Urban Zen High Neck Sleeveless Cat Suit - Lime Green,"KSh1,950.00",50,No reviews,0.00,Sale,Available,"KSh1,950.00"
Vivo Tuni Wide Leg Pants - Purple Print,"KSh3,500.00",30,No reviews,0.00,Sale,Available,"KSh3,500.00"
Nika Bonica Jasmine Palazzo Pants - White,,,No reviews,0.00,,Available,"KSh3,250.00"
Curves BD Pants - Dark Teal,,,No reviews,0.00,,Available,"KSh4,000.00"
Siri Studio Pleat Palazzo Pants - Red,,,No reviews,0.00,,Available,"KSh4,500.00"
Elsie Glamour Hazel Unisex Pants - Dark Brown,,,No reviews,0.00,,Available,"KSh2,700.00"
African Yuva Daffodi Pants - Black,,,No reviews,0.00,,Available,"KSh7,500.00"
Sayuri V-Neck Patterned Jumpsuit - Purple,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Sayuri V-Neck Patterned Jumpsuit - Yellow,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Bbl Femme Fashions Full Length Pants - Beige,,,No reviews,0.00,,Available,"KSh3,800.00"
Anika Pleated Shorts with Clip - Lilac,"KSh2,600.00",30,No reviews,0.00,Sale,Available,"KSh2,600.00"
Vivo Tatili Wide Leg Pants - Black,,,No reviews,0.00,,Available,"KSh4,250.00"
Anika Boot-Cut Dress Pants With Zipper on the side - Light Grey,"KSh2,300.00",30,No reviews,0.00,Sale,Available,"KSh2,300.00"
Anika Clip Shorts with Angular Pockets - Navy Blue,"KSh1,800.00",30,1 review,5.00,Sale,Available,"KSh1,800.00"
Anika Pleated Shorts with Clip - Light Peach,"KSh2,600.00",30,No reviews,0.00,,Sold out,"KSh2,600.00"
Anika A-Line Stitch Shorts - Black,"KSh2,600.00",30,No reviews,0.00,Sale,Available,"KSh2,600.00"
Anika Stitch Outline Shorts - Cream,"KSh2,600.00",30,No reviews,0.00,Sale,Available,"KSh2,600.00"
Anika Cuffed Shorts with an A-line Button - Black,"KSh2,100.00",30,No reviews,0.00,Sale,Available,"KSh2,100.00"
Safari Mali Turn Up Hem Pants - Navy Blue,,,No reviews,0.00,,Available,"KSh4,550.00"
Safari Mali Turn Up Hem Pants - Hunters Green,"KSh4,550.00",10,No reviews,0.00,Sale,Available,"KSh4,550.00"
The Fashion Frenzy Inaya Jumpsuit - Black,"KSh4,800.00",20,No reviews,0.00,Sale,Available,"KSh4,800.00"
Zoya Party Square Neck Playsuit - Yellow,,,No reviews,0.00,,Available,"KSh2,250.00"
Vivo Dali Panel Jumpsuit - Dark Green,,,No reviews,0.00,,Available,"KSh5,250.00"
Shop Anna 254 Elar Slit Jumpsuit - Black,"KSh4,800.00",21,No reviews,0.00,Sale,Available,"KSh4,800.00"
African Yuva Butterfly Jumpsuit - Mustard,,,No reviews,0.00,,Available,"KSh9,520.00"
Zoë Qu'an Emerald Trouser - Green,,,No reviews,0.00,,Available,"KSh5,750.00"
Zoë Qu'an Tribal Chic Trouser - Blue,,,No reviews,0.00,,Available,"KSh5,750.00"
Safari Huru Joggers - Capuccino,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Zoya Maternity Fitness Pants - Black,"KSh2,950.00",30,1 review,5.00,Sale,Available,"KSh2,950.00"
Vivo Tunu Wide Leg Capri Pants - Maroon,"KSh2,950.00",30,No reviews,0.00,Sale,Available,"KSh2,950.00"
Izulu Kone Pants - Burnt Orange,"KSh5,750.00",16,No reviews,0.00,Sale,Available,"KSh5,750.00"
Izulu Latika Pants Only - Blue,,,No reviews,0.00,,Available,"KSh5,500.00"
Vivo Basic Faux Pocket Leisure Pants - Hunters Green,,,No reviews,0.00,,Available,"KSh3,500.00"
Izulu Kamili Palazzo Pants - Brown / White,,,No reviews,0.00,,Available,"KSh5,700.00"
Itikadi Makena Palazzo - Mustard Print,,,No reviews,0.00,,Available,"KSh4,900.00"
Zoya Brave Palazzo Pants - Geometric Print,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Zoya Brave Palazzo Pants - Rainbow Print,"KSh3,500.00",50,No reviews,0.00,Sale,Available,"KSh3,500.00"
Vivo Basic Leisure Pants - Dark Green,,,1 review,5.00,,Available,"KSh3,550.00"
Vivo Basic Leisure Pants - Green,,,No reviews,0.00,,Available,"KSh3,550.00"
Vivo Hema One Shoulder Jumpsuit - Red,"KSh4,250.00",30,No reviews,0.00,Sale,Available,"KSh4,250.00"
Vivo Basic Leisure Pants - Maroon,,,1 review,3.00,,Available,"KSh3,550.00"
Vivo Basic Leisure Pants - Grey,,,No reviews,0.00,,Available,"KSh3,550.00"
African Yuva Ahero Pants - Mustard,,,No reviews,0.00,,Available,"KSh5,500.00"
Siri Studio Pleat Palazzo Pants - Rust,,,No reviews,0.00,,Available,"KSh4,500.00"
Purple Thread Ibiza Infinity Jumpsuit - Latte,,,No reviews,0.00,,Available,"KSh5,500.00"
Vivo Yumi Off Shoulder Jumpsuit - Purple,,,No reviews,0.00,,Sold out,"KSh5,750.00"
Infy Knit Wear Full Length Pants - Peach,"KSh2,500.00",20,No reviews,0.00,Sale,Available,"KSh2,500.00"
Purple Thread Rossa Romper - Tawny,,,No reviews,0.00,,Available,"KSh3,500.00"
Bbl Femme Fashions Full Length Pants - Green,,,No reviews,0.00,,Available,"KSh3,800.00"
Ikojn Wide leg Pants - Orange,"KSh4,500.00",20,No reviews,0.00,Sale,Available,"KSh4,500.00"
Tuli Clio Playsuit - Black Currant,"KSh5,000.00",10,No reviews,0.00,Sale,Available,"KSh5,000.00"
Dazzle Divas Fashions Wide Leg Jumpsuit - Green,,,No reviews,0.00,,Available,"KSh2,999.00"
Vivo Fasi Strapless Jumpsuit - Maroon,,,No reviews,0.00,,Available,"KSh5,750.00"
Anika Drawstring Cargo Pants with Belt - Hot Pink,"KSh2,100.00",30,No reviews,0.00,,Sold out,"KSh2,100.00"
Miss Kerre Fashions City Goddess Tuxedo Jumpsuit - Royal Blue,,,No reviews,0.00,,Available,"KSh4,800.00"
Itikadi Boreta Palazzo - Teal Floral Print,,,No reviews,0.00,,Available,"KSh5,000.00"
Anika Cuffed Shorts with Elastic - Lilac,"KSh1,800.00",30,No reviews,0.00,,Sold out,"KSh1,800.00"
Jaidden Trendy Cullote Jumpsuit - Blue Floral,,,No reviews,0.00,,Available,"KSh5,200.00"
